fps;frame time;memory used; memory allocated;fps;drawCalls;frameTime;renderTime;gpuFrameTimeCounter;averageGpuFrameTime
1071.800000000745;711.57;0.30000000074505806;71.18;79.88;1119.40;0;0;105472;110088.1568627451
2072.10000000149;1112.67;1.3999999985098839;70.32;80.13;686.50;0;0;88800;102276.37764932563
3072.60000000149;1130.43;0.5;71.33;80.13;1271.19;0;0;87872;99115.45098039215
4073.5;1517.63;0.30000000074505806;70.01;80.13;1415.09;0;0;105792;99711.13513513513
5073.5;1496.00;0.30000000074505806;72.09;80.38;1492.54;0;0;108544;100970.42123893806
6074.10000000149;1593.04;0.5;70.74;80.38;1546.39;0;0;103840;102029.43191389799
7074.10000000149;1555.00;0.5;72.46;80.38;1648.35;0;0;102400;102478.09140201395
8074.199999999255;1447.86;0.30000000074505806;70.93;80.38;1244.81;0;0;107936;103069.7853560682
9074.400000002235;1530.69;0.10000000149011612;72.54;80.38;1734.10;0;0;111392;103731.28588098017
10074.5;1552.84;0.19999999925494194;71.00;80.38;1675.98;0;0;98208;103283.5982442551
11074.60000000149;1682.83;0.30000000074505806;72.76;80.38;1724.14;0;0;96256;102805.36522539098
12075;1666.33;0.19999999925494194;71.31;80.38;1796.41;0;0;96256;102315.12494811125
13075.10000000149;1658.83;0.3999999985098839;66.45;80.38;1604.28;0;0;92288;101893.08061166698
14075.10000000149;1665.00;0.3999999985098839;68.19;80.38;1648.35;0;0;96256;101527.09878682843
15075.199999999255;1673.83;0.30000000074505806;43.63;57.24;1704.55;0;0;96000;101271.86041299824
16075.5;1687.49;0.29999999701976776;45.39;57.24;1734.10;0;0;104032;101049.62665476721
17075.900000002235;1669.33;0.30000000074505806;43.94;57.24;1704.55;0;0;95584;101007.70432124496
18075.900000002235;1669.00;0.19999999925494194;45.68;57.24;1630.43;0;0;96256;100747.41605839416
19076.10000000149;1682.66;0.30000000074505806;44.25;57.24;1666.67;0;0;105120;100542.49564256781
20076.199999999255;1650.83;0.09999999776482582;45.97;57.24;1694.92;0;0;92992;100318.39684564537
21076.60000000149;1695.32;0.19999999925494194;44.54;57.24;1694.92;0;0;103008;100102.26706231454
